Unnamed: 0,French,English
2,seulement,only
6,demande,request
7,genre,kind
10,laisser,let
11,car,because
12,mettre,to put
15,eux,them
20,devrait,should
21,bébé,baby
24,vont,will
25,pendant,while
27,aucune,any
28,place,square
31,étaient,were
32,attention,Warning
34,affaire,case
35,donner,give
40,corps,body
44,écoute,listen
46,trouve,find
47,premier,first
49,main,hand
56,matin,morning
59,point,point
61,suite,after
63,venez,come
64,devant,in front of
67,demandé,request
70,belle,beautiful
73,aujourd'hui,today
77,espère,hope
79,attendez,Wait
80,parti,left
84,dirait,would say
85,terre,Earth
94,aura,will have
97,bureau,office
